sentence,Sentiments,Bayes
What's the difference between using the words according to subsidized prices and increasing subsidized prices? What is said is that rich people enjoy subsidies. Is it not a solution to increase subsidized prices?,Positif,Positif
"In the Republic of Indonesia, fixed prices are rising high, smart people are withdrawing BLT subsidies, accepting corruption of conscience everywhere",Positif,Negatif
Price increases are proud of Mr. Jokowi's vote. Don't be spoiled. Work hard. Don't forget to increase the salaries of your employees. The price of independence is fixed.,Positif,Positif
"the price of Pertalite diesel increases, who mustahiq subsidies on Islamic jurisprudence are long, like the mass of floods, protests rise, the price of cases suddenly sells during the day, the price of Pertalite increases",Positif,Positif
"Sir, why did you choose to increase prices in the end, sir, in the past, the community was small, the impact of basic needs went up, sir, if funds are built, fast trains, salaries, just stop, it will take years for people to waste state money.",Negatif,Negatif
Subsidized prices rise as a result of the IPO BEI action,Netral,Netral
"Tired of prices going up day by day, just what are the names of new resources? One day they run out, don't want to go up, don't use the minimum, it's economical to drive, don't demonstrate until you burn the tires.",Negatif,Negatif
"It's not related to the price increase, I often fill V Power Shells and go to big cities if I don't have a pencil",Positif,Positif
"for example, asking Jokowi to lower prices, if Jokowi wants him to lower them, then resign",Negatif,Positif
"I think once the president said rockets, it's true that one of the prices for rockets is to the moon",Positif,Positif
"President Jokowi, I will not increase prices",Negatif,Positif
"God bless the world and the afterlife, state officials contribute to the price increase, amen, rabbalalamin",Positif,Positif
"order to continue strong efforts to protect the community, fluctuations in rising world oil prices, price adjustments are one of the efforts to prevent the state budget from being depleted, stop subsidies for consumer goods",Positif,Positif
debts piling up orders to increase fuel prices pass,Positif,Positif
Long traffic jams across three UHO campuses due to price increase demonstrations,Positif,Netral
"Come on, if the political parties who lose votes senayan join the people in action to demand the order to cancel the price increase",Positif,Positif
"I'm surprised, sis, rich people are just worried about rising prices as a result of rising prices of basic commodities, prices, imagine what the fate of rich people will be",Positif,Positif
It's sad that poor people's BPS levels are increasing after fuel prices rise,Negatif,Negatif
"use language that suits the price, why not use language that increases the price?",Netral,Netral
increase the price of people's fuel,Positif,Positif
President Joko Widodo Jokowi officially announces price increase,Positif,Positif
"It went viral from residents to motorbike taxis raiding Vivo gas stations, causing Pertamina prices to rise",Netral,Netral
"Somehow the weather in the morning, I always pray for the spirit of the morning even though I hear the price of the stomach is high",Positif,Positif
prices go up and down as we are ready,Positif,Positif
"anticipating panic buying after the price increase, police guard gas stations in Tangerang City",Negatif,Positif
"Wow, what can I do to go up on foot? I hope it doesn't go up at the same time as the price of alcohol",Positif,Positif
Prices increase Bondowoso community monitors panic buying,Negatif,Positif
"DPR members value increases in price, potential for new poor people to emerge",Negatif,Positif
It's stupid to think that a price increase requires another increase,Positif,Positif
